points,image_gen,image_overlay,html_overlay,google_maps,google_earth
1,0.09575,0.1384,0.10595,1.28305,2.4
2,0.10705,0.1393,0.1044,1.1378,2.15
4,0.0882,0.14365,0.10295,1.1813,2.25
8,0.0895,0.13575,0.1003,1.16655,2.25
16,0.0919,0.14065,0.1112,1.1863,2.4
32,0.08825,0.14115,0.1201,1.34545,2.15
64,0.08945,0.13805,0.11065,1.52775,2.55
128,0.08635,0.13895,0.119,2.2397,2.6
256,0.08865,0.1357,0.14745,4.16645,2.7
512,0.08965,0.1337,0.2447,9.9603,2.5
1024,0.08765,0.14,0.60225,40.8193,2.65
2048,0.09165,0.134,1.3333,149.10935,2.5
4096,0.0907,0.1334,5.3805,435,3.05
8192,0.09285,0.13615,24.7868,,4.65
16384,0.0911,0.13875,114.2655,,10.8
32768,0.0898,0.1425,597.095,,37.85
65536,0.0879,0.1437,,,144
131072,0.0888,0.13535,,,576
262144,0.0909,0.1428,,,
524288,0.0873,0.13475,,,
1048576,0.0861,0.13865,,,
